doc_id,item,category,amount,price,discount
13-3_20250828121026-VGVT,Картофель очищенный,продукты питания,3,2508.3,0.14
13-3_20250828121026-BR7F,Бананы свежие,продукты питания,1,4785.9,0.06
13-3_20250828121026-YBLF,Чистящий крем для сантехники,бытовая химия,2,4212.15,0.13
13-3_20250828121026-J0NQ,Дезодорант-антиперспирант,средства гигиены,3,4480.23,0.09
13-3_20250828121026-16Q7,Зубная паста отбеливающая,средства гигиены,4,560.33,0.04
13-3_20250828121026-UBW2,Картофель очищенный,продукты питания,4,2830.04,0.13
13-3_20250828121026-ESK0,Картофель очищенный,продукты питания,5,4813.23,0.12
13-3_20250828121026-6MW8,Стиральный порошок для цветного белья,бытовая химия,5,4533.8,0.22
13-3_20250828121026-FBOK,Гель для душа увлажняющий,средства гигиены,1,4989.61,0.21
13-3_20250828121026-YJJ2,Картофель очищенный,продукты питания,2,3953.17,0.05
13-3_20250828121026-9FIO,Влажные салфетки для гигиены животных,товары для животных,4,649.7,0.05
13-3_20250828121026-0B9S,Влажные салфетки для гигиены животных,товары для животных,1,3841.34,0.26
13-3_20250828121026-AME3,Ватные диски косметические,средства гигиены,3,2606.78,0.18
13-3_20250828121026-8PM8,Куриные яйца С1,продукты питания,1,1914.49,0.25
13-3_20250828121026-L40M,Сковорода с антипригарным покрытием 26 см,посуда,5,1536.48,0.24
13-3_20250828121026-KCLU,Шампунь для нормальных волос,средства гигиены,5,4011.7,0.12
13-3_20250828121026-N3HY,Кастрюля нержавеющая 3 л,посуда,5,2338.65,0.23
13-3_20250828121026-IXK8,Стиральный порошок для цветного белья,бытовая химия,4,157.44,0.18
13-3_20250828121026-AMXI,Картофель очищенный,продукты питания,1,3292.48,0.06
13-3_20250828121026-12C2,Средство для мытья посуды универсальное,бытовая химия,3,244.92,0.01
13-3_20250828121026-9KN7,Молоко пастеризованное 2.5%,продукты питания,4,690.17,0.07
13-3_20250828121026-8SLK,Бананы свежие,продукты питания,2,1461.72,0.01
