doc_id,item,category,amount,price,discount
19-2_20250828121026-G2FR,Шампунь для нормальных волос,средства гигиены,1,3706.09,0.12
19-2_20250828121026-QW5G,Картофель очищенный,продукты питания,2,1554.36,0.26
19-2_20250828121026-Y20W,Зубная паста отбеливающая,средства гигиены,3,2781.23,0.2
19-2_20250828121026-AR6J,Порошок для прочистки труб,бытовая химия,1,1250.13,0.27
19-2_20250828121026-KCAG,Чайный сервиз на 6 персон,посуда,1,534.94,0.12
19-2_20250828121026-PN6V,Дезодорант-антиперспирант,средства гигиены,2,651.03,0.23
19-2_20250828121026-91W7,Шампунь для нормальных волос,средства гигиены,3,4445.67,0.18
19-2_20250828121026-9A5N,Хлеб цельнозерновой,продукты питания,2,4159.06,0.22
19-2_20250828121026-QZQ1,Хлеб цельнозерновой,продукты питания,4,1293.72,0.13
19-2_20250828121026-EYJR,Дезодорант-антиперспирант,средства гигиены,5,1631.24,0.16
19-2_20250828121026-1GSC,Зубная паста отбеливающая,средства гигиены,2,2701.79,0.15
19-2_20250828121026-CLQ6,Набор тарелок глубоких 6 шт,посуда,3,344.89,0.15
19-2_20250828121026-HRY8,Гель для душа увлажняющий,средства гигиены,2,2405.06,0.15
19-2_20250828121026-LVBR,Набор столовых приборов на 6 персон,посуда,3,2586.93,0.1
19-2_20250828121026-8VSP,Набор столовых приборов на 6 персон,посуда,5,96.47,0.11
19-2_20250828121026-OSIY,Хлеб цельнозерновой,продукты питания,1,1692.6,0.23
19-2_20250828121026-L6DT,Набор тарелок глубоких 6 шт,посуда,1,3422.83,0.15
19-2_20250828121026-Q4MU,Картофель очищенный,продукты питания,1,299.0,0.07
19-2_20250828121026-K5P7,Картофель очищенный,продукты питания,1,3572.58,0.28
19-2_20250828121026-6IEQ,Чистящий крем для сантехники,бытовая химия,5,3917.87,0.03
19-2_20250828121026-K5J6,Набор тарелок глубоких 6 шт,посуда,3,3359.41,0.14
