doc_id,item,category,amount,price,discount
19-4_20250828121026-28PN,Лежанка для животных с бортиками,товары для животных,1,4878.19,0.04
19-4_20250828121026-5NF4,Лоток с сеткой для кошек,товары для животных,5,4637.58,0.11
19-4_20250828121026-IBYR,Лежанка для животных с бортиками,товары для животных,3,4026.05,0.09
19-4_20250828121026-16LF,Порошок для прочистки труб,бытовая химия,2,239.92,0.06
19-4_20250828121026-17GK,Зубная паста отбеливающая,средства гигиены,5,4633.34,0.06
19-4_20250828121026-0V9R,Хлеб цельнозерновой,продукты питания,2,2228.29,0.11
19-4_20250828121026-F0YN,Набор тарелок глубоких 6 шт,посуда,4,3311.28,0.04
19-4_20250828121026-VUHL,Сковорода с антипригарным покрытием 26 см,посуда,4,802.9,0.14
19-4_20250828121026-9SLG,Молоко пастеризованное 2.5%,продукты питания,1,984.64,0.1
19-4_20250828121026-0M3F,Средство для мытья посуды универсальное,бытовая химия,3,2286.42,0.16
19-4_20250828121026-CJOE,Чистящий крем для сантехники,бытовая химия,3,4941.66,0.04
19-4_20250828121026-DYS2,Сковорода с антипригарным покрытием 26 см,посуда,4,1652.37,0.19
19-4_20250828121026-Y5HU,Сковорода с антипригарным покрытием 26 см,посуда,5,321.1,0.3
19-4_20250828121026-72D2,Бананы свежие,продукты питания,1,641.87,0.21
19-4_20250828121026-XSO5,Чайный сервиз на 6 персон,посуда,3,1342.63,0.18
19-4_20250828121026-Z6QY,Чайный сервиз на 6 персон,посуда,3,3236.75,0.02
19-4_20250828121026-3MUP,Молоко пастеризованное 2.5%,продукты питания,1,4438.55,0.13
19-4_20250828121026-2XTU,Чайный сервиз на 6 персон,посуда,3,2409.16,0.22
19-4_20250828121026-H6CA,Средство для мытья окон без разводов,бытовая химия,3,2477.06,0.22
19-4_20250828121026-4HHB,Набор столовых приборов на 6 персон,посуда,5,590.49,0.07
19-4_20250828121026-DX2O,Шампунь для нормальных волос,средства гигиены,1,3644.59,0.02
19-4_20250828121026-9V0U,Картофель очищенный,продукты питания,3,1454.33,0.05
19-4_20250828121026-CIWA,Хлеб цельнозерновой,продукты питания,3,3784.53,0.2
19-4_20250828121026-T2WO,Куриные яйца С1,продукты питания,2,2546.01,0.3
19-4_20250828121026-A4YW,Набор тарелок глубоких 6 шт,посуда,2,3426.96,0.14
19-4_20250828121026-U0I3,Куриные яйца С1,продукты питания,4,4388.56,0.27
19-4_20250828121026-U5IT,Картофель очищенный,продукты питания,3,1500.6,0.23
19-4_20250828121026-DAQL,Молоко пастеризованное 2.5%,продукты питания,2,2162.81,0.26
19-4_20250828121026-UCVO,Порошок для прочистки труб,бытовая химия,4,2606.62,0.15
19-4_20250828121026-UTCG,Миски устойчивые для корма и воды,товары для животных,5,2667.94,0.06
19-4_20250828121026-PJPN,Зубная паста отбеливающая,средства гигиены,2,1850.48,0.21
19-4_20250828121026-XESX,Зубная паста отбеливающая,средства гигиены,3,4357.5,0.15
19-4_20250828121026-WNYZ,Стиральный порошок для цветного белья,бытовая химия,1,3073.23,0.12
19-4_20250828121026-YJEK,Средство для мытья окон без разводов,бытовая химия,2,1694.88,0.01
19-4_20250828121026-HIY7,Куриные яйца С1,продукты питания,4,844.28,0.03
19-4_20250828121026-SN7Z,Дезодорант-антиперспирант,средства гигиены,1,3708.74,0.2
19-4_20250828121026-T9YI,Лежанка для животных с бортиками,товары для животных,2,2556.77,0.26
19-4_20250828121026-CYC2,Набор тарелок глубоких 6 шт,посуда,4,4064.79,0.22
